Nome do Produto,Complemento da Marca,Princípio Ativo ou Descrição do Medicamento Notificado,Tipo de Regularização,Número da Regularização,Número do Processo,Empresa Detentora da Regularização,Situação da Regularização,Vencimento da Regularização
DIZDY,,DESLORATADINA,REGISTRADO,115600250,25351.583188/2019-88,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA - 17.562.075/0001-69,Ativo,03/2033
SILUESTAT,,ORLISTATE,REGISTRADO,102351209,25351.405197/2016-96,EMS S/A - 57.507.378/0003-65,Ativo,05/2027
SINTAFLAT,,SIMETICONA 75 MG/ML (EMULSÃO ORAL) C,NOTIFICADO,         ,,LABORATORIO GLOBO SA - 17.115.437/0001-73,Ativo,07/2035
CLORIDRATO DE PAROXETINA,,CLORIDRATO DE PAROXETINA HEMI-HIDRATADO,REGISTRADO,183260024,25351.664179/2014-89,SANOFI MEDLEY FARMACÊUTICA LTDA. - 10.588.595/0010-92,Ativo,05/2028
NUVIGIL,,armodafinila,REGISTRADO,155730053,25351.567283/2017-72,TEVA FARMACÊUTICA LTDA. - 05.333.542/0001-08,Ativo,06/2030
TAXBAC,,"SULFAMETOXAZOL, TRIMETOPRIMA",REGISTRADO,103920214,25351.570928/2022-11,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA - 30.222.814/0001-31,Ativo,
HISCONGEX,,"MALEATO DE BRONFENIRAMINA, CLORIDRATO DE FENILEFRINA",REGISTRADO,155840661,25351.350446/2023-28,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,08/2033
KARBO,,CARBOPLATINA,REGISTRADO,100431543,25351.458492/2022-93,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,06/2035
MENOP,,GLYCINE MAX (L.) MERR.,REGISTRADO,114620004,25351.239559/2017-73,MYRALIS INDÚSTRIA FARMACÊUTICA LTDA - 17.440.261/0001-25,Ativo,04/2028
RIBAVIRINA,,RIBAVIRINA,REGISTRADO,110630051,25000.013335/98-23,FUNDAÇÃO OSWALDO CRUZ - 33.781.055/0001-35,Ativo,11/2028
LANSOPRAZOL,,LANSOPRAZOL,REGISTRADO,183260178,25351.680416/2014-01,SANOFI MEDLEY FARMACÊUTICA LTDA. - 10.588.595/0010-92,Ativo,10/2026
rivaroxabana,,RIVAROXABANA,REGISTRADO,105350239,25351.572566/2023-84,LABORATÓRIO GLOBO SA - 17.115.437/0001-73,Ativo,10/2033
cloridrato de ciclobenzaprina,,CLORIDRATO DE CICLOBENZAPRINA,REGISTRADO,125680280,25351.219510/2012-53,PRATI DONADUZZI & CIA LTDA - 73.856.593/0001-66,Ativo,05/2029
cloridrato de fluoxetina,,CLORIDRATO DE FLUOXETINA,REGISTRADO,103700487,25351.372894/2005-09,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,10/2026
ATURGYL,,CLORIDRATO DE OXIMETAZOLINA,REGISTRADO,178170934,25351.497386/2022-25,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. - 61.082.426/0002-07,Ativo,05/2028
clonazepam,,CLONAZEPAM,REGISTRADO,100630268,25351.406161/2022-78,INSTITUTO BIOCHIMICO INDÚSTRIA FARMACÊUTICA LTDA - 33.258.401/0001-03,Ativo,11/2032
EXTRALERG,,LISADO BACTERIANO,REGISTRADO,117290008,25351.002745/01-54,LABORATORIO DE EXTRATOS ALERGENICOS LTDA - 28.614.626/0001-07,Ativo,10/2026
VANCOSON,,CLORIDRATO DE VANCOMICINA,REGISTRADO,116370114,25351.325060/2013-31,BLAU FARMACÊUTICA S.A. - 58.430.828/0001-60,Ativo,10/2027
CETOBETA,,"CETOCONAZOL, SULFATO DE NEOMICINA, DIPROPIONATO DE BETAMETASONA",REGISTRADO,104400180,25351.126136/2017-08,CELLERA FARMACÊUTICA S.A. - 33.173.097/0002-74,Ativo,06/2029
REPARIL,,"ESCINA, salicilato de dietilamônio",REGISTRADO,188300068,25351.108965/2019-17,VIATRIS FARMACEUTICA DO BRASIL LTDA - 11.643.096/0001-22,Ativo,01/2035
UNI-DIAZEPAX,,DIAZEPAM,REGISTRADO,104970147,25001.004766/86,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,01/2035
"SORONAV SOLUCAO DE CLORETO DE SODIO 0,9%",,"SOLUÇÃO DE CLORETO DE SÓDIO 0,9% C",NOTIFICADO,         ,,LABORATORIO TAYUYNA LTDA - 60.879.848/0001-64,Ativo,12/2029
dutasterida + cloridrato de tansulosina,,"CLORIDRATO DE TANSULOSINA, DUTASTERIDA",REGISTRADO,101180648,25351.013972/2021-48,APSEN FARMACEUTICA S/A - 62.462.015/0001-29,Ativo,06/2033
HALOPERIDOL,,HALOPERIDOL,REGISTRADO,103700390,25351.163778/2002-40,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,10/2027
vildagliptina,,VILDAGLIPTINA,REGISTRADO,155370117,25351.000845/2020-06,ACCORD FARMACÊUTICA LTDA - 64.171.697/0001-46,Ativo,10/2033
Waryz,,"DIOSMINA, FLAVONÓIDES EXPRESSOS EM HESPERIDINA, HESPERIDINA",REGISTRADO,143810243,25351.305921/2018-44,CIMED INDUSTRIA S.A - 02.814.497/0001-07,Ativo,11/2029
XPREZA,,AZACITIDINA,REGISTRADO,182610013,25351.398206/2021-42,NATCOFARMA DO BRASIL LTDA - 08.157.293/0001-27,Ativo,03/2032
CLORIDRATO DE PROPAFENONA,,CLORIDRATO DE PROPAFENONA,REGISTRADO,125680255,25351.172912/2013-74,PRATI DONADUZZI & CIA LTDA - 73.856.593/0001-66,Ativo,07/2026
GASTROGEL® TABS,,HIDRÓXIDO DE ALUMÍNIO + HIDRÓXIDO DE MAGNÉSIO + SIMETICONA (COMPRIMIDO MASTIGÁVEL) C,NOTIFICADO,         ,,MEDQUIMICA INDÚSTRIA FARMACÊUTICA LTDA - 17.875.154/0003-91,Ativo,03/2034
HELMILAB,,MEBENDAZOL,REGISTRADO,138410036,25351.446145/2008-60,NATULAB LABORATORIO S.A - 02.456.955/0001-83,Ativo,07/2029
KALONAT,,COLÓDIO LACTO-SALICILADO 20% (SOLUÇÃO) C,NOTIFICADO,         ,,NATULAB LABORATORIO S.A - 02.456.955/0001-83,Ativo,07/2035
SIGMATRIOL,,CALCITRIOL,REGISTRADO,105830712,25351.648105/2010-12,GERMED FARMACEUTICA LTDA - 45.992.062/0001-65,Ativo,07/2029
ácido zoledrônico,,ácido zoledrônico monoidratado,REGISTRADO,188300060,25351.771065/2014-17,VIATRIS FARMACEUTICA DO BRASIL LTDA - 11.643.096/0001-22,Ativo,10/2028
CRISCY,"KIT COMPLETO, REFIL CANETA",SOMATROPINA,REGISTRADO,102980509,25351.708661/2018-65,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA. - 44.734.671/0001-51,Ativo,05/2029
MALEATO DE ENALAPRIL,,MALEATO DE ENALAPRIL,REGISTRADO,113430190,25351.669347/2013-22,HIPOLABOR FARMACEUTICA LTDA - 19.570.720/0001-10,Ativo,07/2035
Tyflen criança,,PARACETAMOL 32 MG/ML (SUSPENSÃO) C,NOTIFICADO,         ,,BRASTERÁPICA PHARMACEUTICA LTDA - 46.179.008/0003-20,Ativo,11/2033
ONUA,,DESOGESTREL,REGISTRADO,103900209,25351.723542/2020-57,FARMOQUÍMICA S/A - 33.349.473/0001-58,Ativo,09/2030
azitromicina,,AZITROMICINA,REGISTRADO,100470446,25351.192679/2006-07,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA - 61.286.647/0001-16,Ativo,11/2026
cloridrato de memantina,,CLORIDRATO DE MEMANTINA,REGISTRADO,125680264,25351.442810/2012-11,PRATI DONADUZZI & CIA LTDA - 73.856.593/0001-66,Ativo,05/2028
lactato de milrinona,,MILRINONA,REGISTRADO,174650017,25351.648019/2022-04,FARMA VISION IMPORTAÇÃO E EXPORTAÇÃO DE MEDICAMENTOS LTDA - 09.058.502/0001-48,Ativo,05/2034
pantoprazol sódico sesqui-hidratado,,PANTOPRAZOL SÓDICO SESQUI-HIDRATADO,REGISTRADO,118190400,25351.065456/2022-80,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,02/2030
DEXMINE,,"MALEATO DE DEXCLORFENIRAMINA, BETAMETASONA",REGISTRADO,143810198,25351.585155/2016-20,CIMED INDUSTRIA S.A - 02.814.497/0001-07,Ativo,04/2027
PABEXHY,,PARECOXIBE SÓDICO,REGISTRADO,155840660,25351.062001/2023-93,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,08/2033
VOLTAFLEX AP,,DICLOFENACO SÓDICO,REGISTRADO,102351174,25351.378346/2015-56,EMS S/A - 57.507.378/0003-65,Ativo,10/2026
GALVUS MET,,"VILDAGLIPTINA, CLORIDRATO DE METFORMINA",REGISTRADO,100681059,25351.370389/2007-83,NOVARTIS BIOCIENCIAS S.A - 56.994.502/0001-30,Ativo,01/2029
CORTAZIDIN,,DICLORIDRATO DE TRIMETAZIDINA,REGISTRADO,118190239,25351.062922/2022-75,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,07/2028
IOD-IPEN-131,PRAZO DE VALIDADE: 30 DIAS,iodeto de sódio 131I,REGISTRADO,181000024,25351.412213/2015-66,COMISSAO NACIONAL DE ENERGIA NUCLEAR - 00.402.552/0001-26,Ativo,06/2030
MESIGYNA,,"ENANTATO DE NORETISTERONA, VALERATO DE ESTRADIOL",REGISTRADO,170560043,25351.091837/2008-66,BAYER S.A. - 18.459.628/0001-15,Ativo,06/2035
OMEPRAZOL,,OMEPRAZOL,REGISTRADO,183260248,25351.693344/2014-80,SANOFI MEDLEY FARMACÊUTICA LTDA. - 10.588.595/0010-92,Ativo,10/2025
GASTROBEM,,"SUSPENSÃO DE HIDRÓXIDO DE ALUMÍNIO, HIDRÓXIDO DE MAGNÉSIO E SIMETICONA C",NOTIFICADO,         ,,NATULAB LABORATORIO S.A - 02.456.955/0001-83,Ativo,04/2032
BICARBONATO DE SÓDIO BEM BÁSICO,,BICARBONATO DE SÓDIO (PÓ) C,NOTIFICADO,         ,,FARMAX S.A. - 21.759.758/0001-88,Ativo,10/2034
LEVIXE,,BROMIDRATO DE CITALOPRAM,REGISTRADO,103700661,25351.213266/2011-11,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,12/2025
VEEPI,,LEVETIRACETAM,REGISTRADO,105250105,25351.254784/2021-78,TORRENT DO BRASIL LTDA - 33.078.528/0001-32,Ativo,10/2032
etodolaco,,ETODOLACO,REGISTRADO,194270109,25351.328245/2024-25,MOMENTA FARMACÊUTICA LTDA. - 14.806.008/0001-54,Ativo,06/2035
NIMEGON,,FOSFATO DE SITAGLIPTINA MONOIDRATADO,REGISTRADO,101710205,25351.497971/2014-15,MERCK SHARP & DOHME FARMACEUTICA LTDA. - 03.560.974/0001-18,Ativo,08/2035
PARACETAMOL,,PARACETAMOL 500  MG (COMPRIMIDO) C,NOTIFICADO,         ,,PRATI DONADUZZI & CIA LTDA - 73.856.593/0001-66,Ativo,02/2034
sulfato de neomicina + bacitracina zíncica,,"BACITRACINA, SULFATO DE NEOMICINA",REGISTRADO,113430172,25351.405710/2007-58,HIPOLABOR FARMACEUTICA LTDA - 19.570.720/0001-10,Ativo,10/2029
cloridrato de paroxetina,,CLORIDRATO DE PAROXETINA,REGISTRADO,154230310,25351.193257/2016-12,GEOLAB INDÚSTRIA FARMACÊUTICA S/A - 03.485.572/0001-04,Ativo,07/2030
fosfato de sitagliptina,,"FOSFATO DE SITAGLIPTINA, FOSFATO DE SITAGLIPTINA MONOIDRATADO",REGISTRADO,155370116,25351.687713/2020-77,ACCORD FARMACÊUTICA LTDA - 64.171.697/0001-46,Ativo,09/2033
MEZP,,ESOMEPRAZOL SÓDICO,REGISTRADO,102980528,25351.459390/2016-09,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA. - 44.734.671/0001-51,Ativo,07/2030
mirtazapina,,MIRTAZAPINA,REGISTRADO,183260289,25351.101205/2017-17,SANOFI MEDLEY FARMACÊUTICA LTDA. - 10.588.595/0010-92,Ativo,08/2027
SINOT,,AMOXICILINA TRI-hIDRATADA,REGISTRADO,100431171,25351.711360/2014-95,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,11/2025
SVIR,,SAQUINAVIR,REGISTRADO,102980309,25351.163094/2002-48,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA. - 44.734.671/0001-51,Ativo,10/2027
ZincTrace,,sulfato de zinco heptaidratado,REGISTRADO,119090018,25351.530983/2015-19,INPHARMA LABORATORIOS LTDA - 62.488.184/0001-38,Ativo,04/2029
CLORIDRATO DE AMITRIPTILINA,,CLORIDRATO DE AMITRIPTILINA,REGISTRADO,102350885,25351.303749/2007-31,EMS S/A - 57.507.378/0003-65,Ativo,06/2028
Fulphila,,PEGFILGRASTIM,REGISTRADO,116640002,25351.438601/2024-18,BIOCON BIOLOGICS DO BRASIL LTDA - 38.108.988/0001-80,Ativo,09/2030
INKEF,,CEFALOTINA SÓDICA TAMPONADA,REGISTRADO,103700752,25351.166434/2015-15,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,03/2031
REGENERAT,,"ATROPA BELLADONNA 3D, ARNICA MONTANA 3D",NOTIFICADO,         ,,WELEDA DO BRASIL LABORATORIO E FARMACIA LTDA - 56.992.217/0001-80,Ativo,11/2034
TODUZE,,TOPIRAMATO,REGISTRADO,102351423,25351.855998/2021-66,EMS S/A - 57.507.378/0003-65,Ativo,02/2033
cloridrato de terbinafina,,CLORIDRATO DE TERBINAFINA,REGISTRADO,103700707,25351.626784/2011-62,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,11/2027
BOTOX,,toxina botulínica A,REGISTRADO,198600019,25351.429171/2023-62,ABBVIE FARMACÊUTICA LTDA. - 15.800.545/0001-50,Ativo,09/2027
FENOBRATY,,FENOFIBRATO,REGISTRADO,167730337,25351.394329/2008-37,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,05/2026
letrozol,,LETROZOL,REGISTRADO,109740378,25351.041252/2025-04,BIOLAB SANUS FARMACÊUTICA LTDA - 49.475.833/0001-06,Ativo,05/2035
RIOHEX 2% COLORIDO DEGERMANTE,,GLICONATO DE CLOREXIDINA 2% (SOLUÇÃO COM TENSOATIVOS) C,NOTIFICADO,         ,,RIOQUIMICA S.A. - 55.643.555/0001-43,Ativo,09/2035
LUXTURNA,,VORETIGENO NEPARVOVEQUE,REGISTRADO,100681173,25351.520073/2019-82,NOVARTIS BIOCIENCIAS S.A - 56.994.502/0001-30,Ativo,08/2030
ZYVALPREX,,"DIVALPROATO DE SÓDIO, ÁCIDO CÍTRICO",REGISTRADO,156510018,25351.415638/2007-77,ZYDUS NIKKHO FARMACÊUTICA LTDA - 05.254.971/0001-81,Ativo,08/2028
ANGIOTENSIL HCT,,"CANDESARTANA CILEXETILA, HIDROCLOROTIAZIDA",REGISTRADO,135170014,25351.276100/2014-78,Althaia S.A Indústria Farmacêutica - 48.344.725/0007-19,Ativo,12/2029
AREMAZ,,HEDERA HELIX L.,REGISTRADO,118190231,25351.472833/2021-52,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,01/2032
AZITROMICINA,,AZITROMICINA DI-hIDRATADA,REGISTRADO,102350560,25351.015169/01-88,EMS S/A - 57.507.378/0003-65,Ativo,09/2027
ENHERTU,,TRASTUZUMABE DERUXTECANA,REGISTRADO,104540191,25351.541212/2020-45,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA - 60.874.187/0001-84,Ativo,10/2029
ibuprofeno,,IBUPROFENO,REGISTRADO,154230333,25351.767269/2020-72,GEOLAB INDÚSTRIA FARMACÊUTICA S/A - 03.485.572/0001-04,Ativo,08/2032
Piasky,,CROVALIMABE,REGISTRADO,101000677,25351.612695/2023-12,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A. - 33.009.945/0001-23,Ativo,02/2028
HEDERA CATARINENSE,,HEDERA HELIX L.,REGISTRADO,100663395,25351.086779/2018-21,LABORATORIO CATARINENSE LTDA - 84.684.620/0001-87,Ativo,12/2028
SIMETICONA,,SIMETICONA 40 MG (COMPRIMIDO) C,NOTIFICADO,         ,,BRAINFARMA INDUSTRIA QUÍMICA E FARMACÊUTICA S/A - 05.161.069/0005-44,Ativo,07/2033
"solução de cloreto de sódio 0,9% spray",,"SOLUÇÃO DE CLORETO DE SÓDIO 0,9% C",NOTIFICADO,         ,,AIRELA INDÚSTRIA FARMACÊUTICA LTDA. - 01.858.973/0001-29,Ativo,07/2033
BRONX,,"fumarato de formoterol di-hidratado, BUDESONIDA",REGISTRADO,105730498,25351.059904/2016-68,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,09/2026
NEMICINA,,SULFATO DE NEOMICINA,REGISTRADO,104400185,25351.126061/2017-08,CELLERA FARMACÊUTICA S.A. - 33.173.097/0002-74,Ativo,07/2027
AMOXICILINA,,AMOXICILINA,REGISTRADO,104971359,25351.074723/2008-51,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,11/2028
amoxicilina + clavulanato de potássio,,"AMOXICILINA SÓDICA, CLAVULANATO DE POTÁSSIO",REGISTRADO,103700722,25351.747247/2018-71,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,12/2028
RISEDRONATO SÓDICO,,RISEDRONATO SÓDICO,REGISTRADO,167730579,25351.675021/2017-81,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA - 05.044.984/0001-26,Ativo,03/2028
riluzol,,RILUZOL,REGISTRADO,126250103,25351.391462/2016-41,LABORATÓRIO FARMACÊUTICO DA MARINHA - 00.394.502/0071-57,Ativo,12/2026
SANDRENA,,ESTRADIOL,REGISTRADO,100290216,25351.373722/2021-64,ORGANON FARMACÊUTICA LTDA. - 45.987.013/0001-34,Ativo,04/2028
bromoprida,,BROMOPRIDA,REGISTRADO,104971543,25351.434652/2024-71,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,01/2035
citrato de tamoxifeno,,CITRATO DE TAMOXIFENO,REGISTRADO,118190332,25351.062957/2022-12,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,01/2028
ELIXIR 914,,XAROPE DE IODETO DE POTÁSSIO 2% C,NOTIFICADO,         ,,LABORATORIO SIMOES LTDA. - 33.379.884/0001-96,Ativo,12/2027
acebrofilina,,ACEBROFILINA,REGISTRADO,143810131,25351.009864/2008-01,CIMED INDUSTRIA S.A - 02.814.497/0001-07,Ativo,02/2029
EPÉZ,,CLORIDRATO DE DONEPEZILA,REGISTRADO,105250040,25351.706435/2008-78,TORRENT DO BRASIL LTDA - 33.078.528/0001-32,Ativo,12/2029
COMFECT DUO,,"CLORIDRATO DE DONEPEZILA, CLORIDRATO DE MEMANTINA",REGISTRADO,105730046,25351.239086/2023-12,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A - 60.659.463/0029-92,Ativo,05/2033
INILOK,,pantoprazol magnésico di-hidratado,REGISTRADO,101180622,25351.048042/2018-18,APSEN FARMACEUTICA S/A - 62.462.015/0001-29,Ativo,05/2029
LEITE DE MAGNÉSIA TRIANE,,SUSPENSÃO DE HIDRÓXIDO DE MAGNÉSIO 8% C,NOTIFICADO,         ,,LABORATORIO TAYUYNA LTDA - 60.879.848/0001-64,Ativo,11/2028
bicalutamida,,BICALUTAMIDA,REGISTRADO,116370189,25351.013297/2020-76,BLAU FARMACÊUTICA S.A. - 58.430.828/0001-60,Ativo,10/2032
anastrozol,,ANASTROZOL,REGISTRADO,146820077,25351.675121/2018-98,SUN FARMACÊUTICA DO BRASIL LTDA - 05.035.244/0001-23,Ativo,03/2029
camilia,,"MATRICARIA CHAMOMILLA 9C, PHYTOLACCA DECANDRA 5C, RHEUM OFFICINALE OU RHEUM PALMATUM 5C",NOTIFICADO,         ,,BOIRON MEDICAMENTOS HOMEOPÁTICOS LTDA - 07.498.711/0001-87,Ativo,07/2035
SECNIDAZOL,,SECNIDAZOL,REGISTRADO,100380097,25351.724772/2011-71,BRASTERAPICA PHARMACEUTICA LTDA. - 46.179.008/0001-68,Ativo,12/2028
EPÉZ DUO,,"CLORIDRATO DE DONEPEZILA MONOIDRATADO, CLORIDRATO DE MEMANTINA",REGISTRADO,105250127,25351.008532/2025-01,TORRENT DO BRASIL LTDA - 33.078.528/0001-32,Ativo,06/2035
MALENA HCT,,"MALEATO DE ENALAPRIL, HIDROCLOROTIAZIDA",REGISTRADO,135690734,25351.366620/2018-97,EMS SIGMA PHARMA LTDA - 00.923.140/0001-31,Ativo,10/2028
dipropionato de beclometasona,,DIPROPIONATO DE BECLOMETASONA,REGISTRADO,100580119,25351.553554/2017-11,CHIESI FARMACÊUTICA LTDA - 61.363.032/0001-46,Ativo,11/2027
DORE,,ETODOLACO,REGISTRADO,100431517,25351.560022/2022-99,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,10/2034
BENZAPEN G,,BENZILPENICILINA PROCAÍNA,REGISTRADO,103700158,25000.021527/95-05,LABORATÓRIO TEUTO BRASILEIRO S/A - 17.159.229/0001-76,Ativo,12/2026
citrato de sildenafila,,CITRATO DE SILDENAFILA,REGISTRADO,135690694,25351.413402/2015-14,EMS SIGMA PHARMA LTDA - 00.923.140/0001-31,Ativo,12/2026
dacarbazina,,DACARBAZINA,REGISTRADO,100431541,25351.041253/2025-41,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,05/2035
DEPANTEX,,DEXPANTENOL,REGISTRADO,147610019,25351.265587/2010-01,NATIVITA IND. COM. LTDA. - 65.271.900/0001-19,Ativo,02/2026
FOSFATO DE CLINDAMICINA,,FOSFATO DE CLINDAMICINA,REGISTRADO,113430103,25351.010098/2003-13,HIPOLABOR FARMACEUTICA LTDA - 19.570.720/0001-10,Ativo,06/2028
GLYA,,PREGABALINA,REGISTRADO,102980525,25351.824215/2016-04,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA. - 44.734.671/0001-51,Ativo,04/2030
SAH-TEC,,ALBUMINA HUMANA,REGISTRADO,181000008,25351.397199/2015-11,COMISSAO NACIONAL DE ENERGIA NUCLEAR - 00.402.552/0001-26,Ativo,10/2024
cloridrato de metoclopramida,,CLORIDRATO DE METOCLOPRAMIDA monoidratado,REGISTRADO,144930067,25351.106971/2023-16,AIRELA INDÚSTRIA FARMACÊUTICA LTDA. - 01.858.973/0001-29,Ativo,10/2027
Soolantra,,IVERMECTINA,REGISTRADO,129160205,25351.232213/2015-81,GALDERMA BRASIL LTDA - 00.317.372/0001-46,Ativo,01/2030
cetoconazol,,CETOCONAZOL 20 MG/G (CREME) C,NOTIFICADO,         ,,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA - 30.222.814/0001-31,Ativo,10/2034
Sorine h,,SOLUÇÃO NASAL DE CLORETO DE SÓDIO 3% C,NOTIFICADO,         ,,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A. - 60.659.463/0001-91,Ativo,02/2034
MESILATO DE IMATINIBE,,MESILATO DE IMATINIBE,REGISTRADO,110630132,25351.491071/2012-38,FUNDAÇÃO OSWALDO CRUZ - 33.781.055/0001-35,Ativo,07/2028
NEXOPRAX,,NAPROXENO SÓDICO,REGISTRADO,118190473,25351.071467/2022-07,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA - 92.265.552/0009-05,Ativo,08/2030
PSOREX,,PROPIONATO DE CLOBETASOL,REGISTRADO,101070198,25351.062964/2003-43,GLAXOSMITHKLINE BRASIL LTDA - 33.247.743/0001-10,Ativo,06/2026
SMOFKABIVEN LIVRE DE ELETRÓLITOS,,"ALANINA, ARGININA, GLICINA, HISTIDINA, ISOLEUCINA, LEUCINA, ACETATO DE LISINA, metionina (11 C), FENILALANINA, PROLINA, SERINA, TAURINA, TREONINA, TRIPTOFANo, TIROSINA, LEVOVALINA, GLICOSE MONOHIDRATADA, ÓLEO DE SOJA, TRIGLICERÍDEOS CADEIA MÉDIA, ÓLEO DE OLIVA, ÓLEO DE PEIXE",REGISTRADO,100410149,25351.321579/2010-54,FRESENIUS KABI BRASIL LTDA - 49.324.221/0001-04,Ativo,10/2027
ANTARA,,LEVETIRACETAM,REGISTRADO,100431279,25351.430060/2019-12,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,08/2029
EMBO,,apixabana,REGISTRADO,109740353,25351.067565/2022-31,BIOLAB SANUS FARMACÊUTICA LTDA - 49.475.833/0001-06,Ativo,04/2032
NEOCOPAN COMPOSTO,,"BUTILBROMETO DE ESCOPOLAMINA, dipirona monoidratada",REGISTRADO,104971451,25351.763271/2020-72,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A - 60.665.981/0001-18,Ativo,09/2026
ORGALUTRAN,,ACETATO DE GANIRRELIX,REGISTRADO,100290212,25351.362093/2021-47,ORGANON FARMACÊUTICA LTDA. - 45.987.013/0001-34,Ativo,05/2026
VITAMINA C INJETÁVEL,,ÁCIDO ASCÓRBICO,REGISTRADO,110850028,25351.208246/2004-19,FARMACE INDÚSTRIA QUÍMICO-FARMACÊUTICA CEARENSE LTDA - 06.628.333/0001-46,Ativo,04/2035
bilastina,,BILASTINA,REGISTRADO,155840614,25351.432958/2021-40,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,02/2032
citrato de fentanila,,CITRATO DE FENTANILA,REGISTRADO,100410166,25351.235758/2020-60,FRESENIUS KABI BRASIL LTDA - 49.324.221/0001-04,Ativo,08/2028
apixabana,,apixabana,REGISTRADO,105831045,25351.523204/2023-60,GERMED FARMACEUTICA LTDA - 45.992.062/0001-65,Ativo,05/2034
BROMETO DE IPRATRÓPIO,,BROMETO DE IPRATRÓPIO,REGISTRADO,105350150,25351.394011/2008-56,LABORATÓRIO GLOBO SA - 17.115.437/0001-73,Ativo,12/2028
cloridrato de terbinafina,,CLORIDRATO DE TERBINAFINA,REGISTRADO,155840211,25351.538503/2011-81,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A - 05.161.069/0001-10,Ativo,01/2029
CORISTINA D,,"MALEATO DE DEXCLORFENIRAMINA, CLORIDRATO DE FENILEFRINA, CAFEÍNA, ÁCIDO ACETIL SALICILICO",REGISTRADO,178170797,25351.268780/2015-42,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A. - 61.082.426/0002-07,Ativo,10/2029
BUONA,,GLYCINE MAX (L.) MERR.,REGISTRADO,100431388,25351.160701/2021-81,EUROFARMA LABORATÓRIOS S.A. - 61.190.096/0001-92,Ativo,05/2029
simeticona,,SIMETICONA 125 MG (CÁPSULA GELATINOSA MOLE) C,NOTIFICADO,         ,,GERMED FARMACEUTICA LTDA - 45.992.062/0001-65,Ativo,07/2028
VITAGLÓS,,POMADA PARA ASSADURA C,NOTIFICADO,         ,,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA - 30.222.814/0001-31,Ativo,03/2033
